Game,Date,Hours Played,Recommendation,Helpful Votes
1222670,2022-01-06,19.4,Recommended,202
1222670,2023-10-20,82.0,Recommended,96
1222670,2023-01-05,4200.5,Recommended,80
1222670,2021-11-02,2126.6,Recommended,98
1222670,2020-06-21,3.1,Not Recommended,306
1222670,2022-09-14,6.8,Not Recommended,163
1222670,2022-07-27,830.3,Recommended,74
1222670,2024-07-20,42.2,Recommended,71
1222670,2024-08-01,108.7,Recommended,81
1222670,2024-11-15,22.2,Recommended,126
1222670,2021-08-09,7.6,Not Recommended,208
1222670,2023-07-30,51.2,Not Recommended,86
1222670,2024-06-27,21.5,Recommended,86
1222670,2023-01-20,1022.6,Recommended,102
1222670,2021-01-31,117.0,Recommended,77
1222670,2020-09-25,504.0,Not Recommended,207
1222670,2021-09-27,1070.9,Recommended,83
1222670,2024-11-06,612.9,Not Recommended,56
1222670,2020-07-10,114.1,Recommended,76
1222670,2020-11-26,666.0,Recommended,62
1222670,2024-01-17,149.2,Recommended,74
1222670,2023-12-14,3.0,Recommended,84
1222670,2020-07-02,196.5,Not Recommended,165
1222670,2022-02-22,808.7,Not Recommended,153
1222670,2020-11-26,0.1,Recommended,310
1222670,2020-06-24,33.0,Not Recommended,154
1222670,2024-06-03,3.2,Recommended,62
1222670,2022-10-19,88.2,Recommended,63
1222670,2022-04-01,1549.9,Not Recommended,125
1222670,2023-08-23,159.1,Recommended,77
1222670,2020-07-31,25.3,Recommended,91
1222670,2023-02-02,113.5,Recommended,108
1222670,2022-10-12,176.4,Recommended,414
1222670,2020-08-05,10.8,Recommended,64
1222670,2024-09-12,139.5,Recommended,64
1222670,2023-10-12,16.8,Recommended,121
1222670,2023-01-14,160.8,Recommended,386
1222670,2023-04-28,186.1,Not Recommended,131
1222670,2021-07-18,5.2,Recommended,73
1222670,2021-12-28,55.4,Not Recommended,86
1222670,2023-06-18,56.8,Recommended,115
1222670,2022-06-24,79.4,Recommended,98
1222670,2023-06-02,86.5,Recommended,88
1222670,2023-06-09,9.5,Recommended,798
1222670,2021-08-18,16.7,Recommended,59
1222670,2021-08-02,595.8,Recommended,91
1222670,2021-09-23,19.2,Recommended,106
1222670,2022-02-02,14.8,Recommended,222
1222670,2023-07-19,78.6,Recommended,52
1222670,2023-02-14,26.1,Not Recommended,243
1222670,2023-01-14,219.0,Recommended,165
1222670,2020-06-22,1.8,Not Recommended,294
1222670,2022-04-29,395.9,Recommended,59
1222670,2021-06-29,54.8,Recommended,81
1222670,2022-11-01,31.6,Recommended,98
1222670,2024-09-04,1160.0,Recommended,88
1222670,2020-10-20,553.1,Recommended,160
1222670,2023-03-09,27.6,Recommended,1110
1222670,2023-07-24,9.1,Recommended,112
1222670,2021-03-09,4306.6,Recommended,301
1222670,2022-02-10,266.2,Recommended,70
1222670,2020-06-19,0.2,Recommended,105
1222670,2022-12-19,3.1,Recommended,153
1222670,2021-03-07,322.8,Recommended,87
1222670,2023-10-05,13.0,Recommended,228
1222670,2021-04-09,18.0,Not Recommended,40
1222670,2021-04-17,0.9,Not Recommended,69
1222670,2020-06-22,38.7,Recommended,91
1222670,2024-03-22,79.9,Recommended,68
1222670,2022-10-16,12.9,Recommended,299
1222670,2021-04-07,103.9,Recommended,99
1222670,2024-12-18,842.7,Recommended,60
1222670,2024-09-06,52.4,Recommended,49
1222670,2023-08-09,9074.8,Recommended,111
1222670,2023-07-01,27.1,Not Recommended,182
1222670,2020-12-05,14.9,Recommended,173
1222670,2022-08-28,135.9,Recommended,59
1222670,2023-01-02,104.8,Recommended,3
1222670,2021-02-11,58.0,Recommended,82
1222670,2020-11-20,1073.9,Recommended,135
1222670,2021-01-21,684.5,Recommended,71
1222670,2022-09-17,207.2,Recommended,61
1222670,2023-09-21,3872.2,Recommended,49
1222670,2022-08-02,990.1,Not Recommended,113
1222670,2020-07-07,176.0,Recommended,65
1222670,2024-01-24,1.2,Recommended,545
1222670,2021-12-26,70.9,Recommended,96
1222670,2021-11-01,999.3,Recommended,55
1222670,2020-08-04,25.8,Not Recommended,536
1222670,2023-03-31,51.0,Not Recommended,158
1222670,2021-07-17,139.3,Not Recommended,125
1222670,2023-04-02,186.0,Recommended,706
1222670,2023-11-11,32.0,Recommended,94
1222670,2021-09-12,36.1,Recommended,68
1222670,2024-09-28,89.6,Recommended,81
1222670,2023-07-01,0.9,Recommended,323
1222670,2024-04-13,81.2,Not Recommended,123
1222670,2023-11-22,75.2,Recommended,63
1222670,2023-01-02,163.8,Recommended,251
1222670,2020-06-21,4.0,Recommended,60
1222670,2022-03-15,413.6,Recommended,90
1222670,2024-09-02,1422.2,Not Recommended,53
1222670,2024-03-03,2.1,Not Recommended,41
1222670,2022-12-10,110.0,Recommended,65
1222670,2022-10-18,1.2,Not Recommended,80
1222670,2022-11-29,623.9,Recommended,153
1222670,2023-07-24,0.3,Recommended,592
1222670,2024-07-25,2014.0,Not Recommended,152
1222670,2022-10-01,52.0,Recommended,238
1222670,2024-04-19,10.2,Recommended,102
1222670,2022-10-21,17.1,Recommended,106
1222670,2020-06-22,97.5,Recommended,51
1222670,2023-03-30,28.2,Recommended,68
1222670,2021-09-20,499.1,Recommended,53
1222670,2023-03-04,22.7,Recommended,339
1222670,2023-02-27,6.7,Recommended,197
1222670,2020-08-14,51.9,Recommended,121
1222670,2021-08-01,60.8,Recommended,40
1222670,2021-06-25,2.2,Recommended,648
1222670,2023-01-08,188.5,Recommended,70
1222670,2024-04-27,20126.7,Recommended,63
1222670,2022-09-21,5971.3,Not Recommended,126
1222670,2022-01-28,172.1,Recommended,121
1222670,2023-02-14,671.6,Recommended,120
1222670,2023-11-12,2.0,Recommended,677
1222670,2020-06-21,16.6,Recommended,71
1222670,2024-01-05,0.1,Recommended,63
1222670,2021-02-13,63.9,Recommended,48
1222670,2022-11-10,7.3,Recommended,83
1222670,2021-03-29,80.6,Recommended,133
1222670,2023-10-08,131.6,Recommended,56
1222670,2022-06-02,184.4,Recommended,88
1222670,2024-06-29,508.3,Recommended,66
1222670,2020-12-30,52.8,Recommended,49
1222670,2022-03-03,729.9,Recommended,88
1222670,2021-11-01,9.9,Recommended,87
1222670,2021-12-27,31.4,Recommended,80
1222670,2022-04-29,65.0,Recommended,141
1222670,2021-08-25,114.5,Recommended,34
1222670,2024-01-13,22.9,Recommended,57
1222670,2021-04-05,433.7,Recommended,48
1222670,2023-12-22,13.9,Recommended,179
1222670,2021-04-07,29.1,Not Recommended,46
1222670,2024-04-30,275.0,Recommended,56
1222670,2021-02-09,1028.3,Recommended,105
1222670,2024-07-16,4.3,Recommended,434
1222670,2021-12-22,305.1,Recommended,222
1222670,2022-02-11,73.6,Recommended,75
1222670,2020-06-25,12.9,Recommended,55
1222670,2022-03-03,155.9,Recommended,53
1222670,2022-11-30,63.7,Recommended,90
1222670,2020-09-02,386.2,Recommended,47
1222670,2024-07-26,22.7,Recommended,136
1222670,2021-09-27,4127.5,Recommended,39
1222670,2020-12-24,227.5,Recommended,126
1222670,2021-03-22,6.4,Recommended,30
1222670,2024-12-01,115.2,Recommended,44
1222670,2021-06-25,1.1,Not Recommended,50
1222670,2022-11-20,44.1,Recommended,73
1222670,2022-01-01,94.5,Recommended,37
1222670,2021-01-05,141.7,Recommended,48
1222670,2023-10-23,199.1,Recommended,107
1222670,2020-12-30,499.5,Recommended,130
1222670,2024-09-24,14.5,Not Recommended,77
1222670,2021-06-04,510.7,Recommended,53
1222670,2023-03-15,114.5,Not Recommended,28
1222670,2024-02-19,2077.8,Recommended,66
1222670,2022-08-11,691.7,Recommended,33
1222670,2022-09-08,307.6,Recommended,48
1222670,2022-08-11,7295.5,Recommended,30
1222670,2020-09-10,12.3,Recommended,62
1222670,2021-02-16,503.0,Recommended,35
1222670,2020-07-01,31.2,Recommended,43
1222670,2022-08-04,341.7,Recommended,34
1222670,2021-08-17,16.5,Recommended,35
1222670,2023-12-03,17.5,Not Recommended,64
1222670,2021-10-07,9.4,Recommended,26
1222670,2022-02-06,273.3,Recommended,121
1222670,2024-12-12,138.1,Recommended,41
1222670,2020-09-09,2.6,Not Recommended,48
1222670,2023-12-14,2.4,Recommended,111
1222670,2024-06-17,164.9,Recommended,37
1222670,2021-04-06,83.0,Recommended,73
1222670,2020-09-08,8.7,Recommended,38
1222670,2020-10-29,1048.8,Recommended,92
1222670,2023-04-12,0.2,Recommended,191
1222670,2020-10-17,20.3,Recommended,90
1222670,2022-10-18,55.9,Not Recommended,62
1222670,2023-08-02,9933.7,Not Recommended,34
1222670,2020-07-18,345.2,Recommended,34
1222670,2024-01-20,9.1,Not Recommended,29
1222670,2023-01-28,38.1,Not Recommended,121
1222670,2021-07-18,361.3,Recommended,95
1222670,2024-11-19,10.8,Recommended,28
1222670,2022-10-18,4.6,Not Recommended,32
1222670,2020-12-07,25.9,Recommended,138
1222670,2024-10-14,771.7,Recommended,22
1222670,2024-04-18,33.0,Recommended,323
1222670,2023-04-29,23.3,Recommended,74
1222670,2023-09-28,17.0,Recommended,62
1222670,2024-12-27,100.4,Not Recommended,28
1222670,2024-10-11,1256.4,Recommended,28
1222670,2022-09-19,4.8,Recommended,79
1222670,2021-09-27,45.5,Not Recommended,39
1222670,2023-07-31,28.8,Recommended,271
1222670,2020-09-08,3.4,Not Recommended,48
1222670,2021-06-29,14.8,Recommended,39
1222670,2024-07-23,282.9,Recommended,32
1222670,2020-06-25,184.3,Recommended,33
1222670,2023-08-25,3.4,Recommended,282
1222670,2024-03-17,178.0,Recommended,33
1222670,2024-08-14,3.4,Not Recommended,23
1222670,2021-10-01,152.2,Recommended,32
1222670,2024-01-18,5.5,Recommended,292
1222670,2023-12-10,14.7,Recommended,386
1222670,2020-10-19,329.9,Not Recommended,39
1222670,2023-04-01,195.2,Recommended,55
1222670,2020-07-19,28.4,Recommended,31
1222670,2021-04-07,11.7,Not Recommended,41
1222670,2023-03-29,1876.4,Recommended,28
1222670,2022-02-05,10.3,Not Recommended,44
1222670,2024-01-29,114.3,Recommended,272
1222670,2023-08-26,191.0,Recommended,276
1222670,2021-11-13,60.8,Recommended,30
1222670,2022-10-29,727.9,Recommended,37
1222670,2023-12-18,1.9,Recommended,562
1222670,2023-11-27,17.6,Recommended,64
1222670,2024-06-07,264.1,Not Recommended,22
1222670,2020-06-19,32.8,Not Recommended,138
1222670,2023-03-07,179.9,Recommended,76
1222670,2022-01-29,104.8,Recommended,212
1222670,2021-12-25,1836.7,Recommended,26
1222670,2020-11-01,10.1,Recommended,52
1222670,2020-07-09,10.6,Not Recommended,43
1222670,2024-06-04,65.5,Recommended,32
1222670,2021-03-25,266.8,Recommended,147
1222670,2022-07-26,38.0,Recommended,33
1222670,2022-03-27,608.4,Recommended,44
1222670,2021-08-04,3822.4,Recommended,18
1222670,2021-07-20,36.6,Recommended,28
1222670,2020-09-08,1404.2,Not Recommended,42
1222670,2024-02-06,27.2,Recommended,116
1222670,2024-08-06,3.2,Recommended,128
1222670,2024-03-08,56.7,Not Recommended,26
1222670,2023-04-03,16.3,Recommended,23
1222670,2022-02-04,221.5,Not Recommended,41
1222670,2022-12-17,318.2,Recommended,105
1222670,2022-10-20,4.8,Recommended,27
1222670,2024-12-14,339.3,Recommended,24
1222670,2024-06-25,720.1,Recommended,32
1222670,2020-09-03,0.3,Not Recommended,78
1222670,2022-07-24,15.1,Recommended,41
1222670,2022-10-19,7.5,Not Recommended,34
1222670,2021-01-05,8.3,Recommended,18
1222670,2021-11-02,122.3,Not Recommended,213
1222670,2021-04-06,24.0,Not Recommended,34
1222670,2022-11-23,153.6,Not Recommended,61
1222670,2020-07-14,1280.0,Recommended,22
1222670,2020-06-23,21.4,Not Recommended,46
1222670,2020-12-25,48.5,Recommended,80
1222670,2024-06-02,0.7,Recommended,36
1222670,2021-01-16,224.5,Recommended,22
1222670,2024-08-22,33.8,Recommended,41
1222670,2020-09-10,3.6,Not Recommended,26
1222670,2023-09-17,34.8,Not Recommended,48
1222670,2022-12-30,4.8,Recommended,139
1222670,2022-10-18,17.3,Not Recommended,48
1222670,2024-04-05,452.4,Recommended,41
1222670,2023-12-20,1277.9,Recommended,38
1222670,2024-03-06,8.6,Recommended,42
1222670,2023-09-10,24.9,Recommended,60
1222670,2022-10-19,18.9,Not Recommended,42
1222670,2020-12-28,4.1,Not Recommended,39
1222670,2023-04-29,1419.0,Not Recommended,55
1222670,2024-11-02,20.2,Recommended,24
1222670,2021-04-07,13.3,Not Recommended,28
1222670,2023-07-20,248.7,Not Recommended,36
1222670,2020-09-12,23.5,Recommended,82
1222670,2022-11-24,7.9,Recommended,15
1222670,2022-09-16,9.0,Not Recommended,27
1222670,2022-02-26,1069.4,Recommended,54
1222670,2023-06-09,232.3,Recommended,32
1222670,2023-08-07,142.1,Not Recommended,55
1222670,2022-08-05,14.2,Not Recommended,37
1222670,2024-12-05,795.1,Not Recommended,15
1222670,2022-12-24,40.4,Recommended,15
1222670,2020-09-28,174.2,Recommended,39
1222670,2021-06-02,41.1,Recommended,35
1222670,2021-07-20,28.9,Recommended,14
1222670,2024-03-22,2.7,Recommended,23
1222670,2020-09-08,914.6,Not Recommended,28
1222670,2021-06-17,133.0,Recommended,38
1222670,2022-09-03,24.6,Recommended,28
1222670,2020-06-21,49.9,Recommended,33
1222670,2022-02-07,505.1,Recommended,17
1222670,2024-11-22,817.7,Recommended,20
1222670,2024-09-30,2163.6,Recommended,15
1222670,2020-08-21,83.1,Not Recommended,22
1222670,2022-01-28,65.8,Not Recommended,31
1222670,2023-10-15,548.7,Recommended,33
