Game,Date,Hours Played,Recommendation,Helpful Votes
730,2024-02-22,28.3,Not Recommended,1403
730,2023-01-18,1588.2,Recommended,150
730,2023-03-05,59.3,Recommended,296
730,2021-09-24,1608.9,Recommended,433
730,2014-04-24,1356.1,Recommended,6095
730,2017-11-21,1814.3,Recommended,486
730,2023-12-02,1276.1,Not Recommended,431
730,2024-10-08,49.5,Recommended,342
730,2015-10-09,901.9,Recommended,596
730,2023-01-15,623.1,Recommended,324
730,2020-03-17,2081.2,Recommended,644
730,2018-11-22,12110.6,Recommended,78
730,2021-02-17,1270.9,Recommended,259
730,2023-10-22,448.1,Recommended,807
730,2015-10-12,3343.0,Recommended,570
730,2023-02-02,30.3,Recommended,334
730,2024-07-14,211.6,Recommended,285
730,2019-12-29,3344.5,Recommended,69
730,2017-11-28,2466.3,Recommended,301
730,2021-07-18,480.2,Recommended,263
730,2016-11-19,170.6,Recommended,2109
730,2023-12-03,397.6,Recommended,529
730,2024-02-22,1871.6,Recommended,342
730,2014-11-01,1345.2,Recommended,8715
730,2016-11-24,1213.6,Recommended,91
730,2022-03-01,14534.3,Recommended,111
730,2018-12-08,418.2,Recommended,1398
730,2019-03-22,3518.7,Recommended,134
730,2015-11-01,790.6,Recommended,6880
730,2018-12-07,1480.3,Not Recommended,4617
730,2023-11-22,140.7,Recommended,912
730,2015-04-17,562.9,Recommended,1769
730,2019-12-26,2149.8,Recommended,327
730,2021-09-06,75.4,Recommended,220
730,2012-08-24,5852.3,Recommended,86
730,2017-01-01,8085.4,Recommended,137
730,2019-01-12,1128.7,Not Recommended,912
730,2014-12-15,331.6,Recommended,3454
730,2014-06-29,635.3,Recommended,1306
730,2020-07-22,1445.9,Recommended,186
730,2020-03-30,6756.1,Recommended,1042
730,2024-04-12,952.6,Recommended,338
730,2022-11-09,12.6,Recommended,168
730,2016-10-24,1511.2,Recommended,2021
730,2023-08-24,1427.8,Recommended,665
730,2017-07-20,997.0,Recommended,1013
730,2017-01-29,2219.5,Recommended,309
730,2024-03-06,4859.5,Not Recommended,718
730,2024-06-10,1692.5,Recommended,312
730,2013-12-31,3403.1,Recommended,2539
730,2023-08-29,3029.0,Recommended,670
730,2022-01-30,1449.3,Recommended,241
730,2020-01-31,216.0,Recommended,399
730,2024-02-15,548.2,Recommended,739
730,2014-06-07,76.9,Recommended,3276
730,2023-03-15,415.3,Not Recommended,222
730,2014-09-07,1993.8,Recommended,4615
730,2024-07-06,757.8,Not Recommended,222
730,2013-12-17,13412.7,Recommended,108
730,2022-10-01,157.6,Recommended,342
730,2021-09-05,2634.2,Not Recommended,792
730,2022-02-07,1494.8,Recommended,122
730,2023-09-28,59.6,Recommended,1043
730,2024-07-27,1776.4,Recommended,192
730,2021-04-16,593.5,Not Recommended,467
730,2024-04-08,98.0,Not Recommended,769
730,2017-11-28,4901.7,Recommended,520
730,2019-06-18,2757.7,Recommended,197
730,2020-03-19,26933.8,Recommended,318
730,2017-12-12,7878.8,Recommended,458
730,2023-03-12,691.6,Recommended,929
730,2015-04-02,2033.5,Recommended,3006
730,2020-12-09,258.2,Recommended,602
730,2023-09-28,84.0,Not Recommended,453
