Game,Date,Hours Played,Recommendation,Helpful Votes
578080,2020-06-06,1419.1,Recommended,332
578080,2023-03-24,42.7,Not Recommended,145
578080,2018-03-19,228.4,Recommended,741
578080,2017-12-27,863.6,Recommended,563
578080,2024-03-13,124.5,Not Recommended,72
578080,2017-10-02,191.7,Not Recommended,7102
578080,2017-04-01,114.2,Recommended,90
578080,2018-01-07,1560.7,Not Recommended,122
578080,2020-07-04,221.3,Not Recommended,224
578080,2022-08-05,1890.4,Recommended,189
578080,2017-06-27,385.0,Recommended,74
578080,2017-06-03,531.9,Recommended,2130
578080,2019-06-16,1038.1,Not Recommended,210
578080,2024-09-03,115.0,Not Recommended,59
578080,2022-06-24,6.2,Not Recommended,362
578080,2024-12-21,957.6,Recommended,102
578080,2024-04-02,475.0,Recommended,75
578080,2024-01-18,249.9,Not Recommended,78
578080,2024-01-13,7.4,Recommended,593
578080,2018-12-19,121.2,Not Recommended,595
578080,2021-07-12,15.2,Not Recommended,93
578080,2017-10-01,278.9,Not Recommended,448
578080,2022-02-20,2746.1,Not Recommended,277
578080,2019-04-20,68.4,Not Recommended,180
578080,2018-06-30,141.2,Not Recommended,100
578080,2017-08-11,656.6,Recommended,71
578080,2021-03-10,258.0,Not Recommended,168
578080,2020-02-22,1011.7,Not Recommended,266
578080,2022-02-16,29.9,Not Recommended,134
578080,2020-08-22,1161.2,Recommended,126
578080,2021-10-18,15.0,Recommended,170
578080,2018-01-01,819.3,Not Recommended,256
578080,2017-03-26,28.8,Recommended,353
578080,2024-01-04,133.8,Not Recommended,83
578080,2021-08-02,38.4,Recommended,140
578080,2018-02-09,224.6,Not Recommended,139
578080,2017-11-01,127.8,Not Recommended,465
578080,2021-11-04,108.8,Recommended,281
578080,2017-03-23,47.7,Recommended,97
578080,2021-12-11,1570.8,Not Recommended,154
578080,2022-01-07,1264.9,Recommended,598
578080,2020-01-28,350.0,Not Recommended,95
578080,2017-03-26,82.8,Recommended,442
578080,2019-06-02,191.2,Recommended,470
578080,2024-02-28,421.2,Not Recommended,109
578080,2020-12-04,180.3,Recommended,61
578080,2022-01-31,146.0,Recommended,71
578080,2022-01-23,1.6,Recommended,150
578080,2019-12-07,476.9,Recommended,152
578080,2023-01-08,1214.5,Recommended,270
578080,2022-02-28,1.0,Not Recommended,423
578080,2018-12-20,727.2,Not Recommended,254
578080,2018-01-07,1159.8,Not Recommended,123
578080,2022-03-08,1.1,Not Recommended,131
578080,2022-08-31,293.6,Not Recommended,42
578080,2018-04-26,973.3,Recommended,545
578080,2024-04-17,864.3,Recommended,111
578080,2021-11-12,1174.7,Not Recommended,164
578080,2017-10-26,715.4,Not Recommended,677
578080,2022-08-06,590.4,Not Recommended,39
578080,2022-06-26,238.0,Recommended,853
578080,2021-08-24,216.5,Not Recommended,118
578080,2018-02-14,1454.7,Recommended,170
578080,2020-08-22,1663.3,Not Recommended,242
578080,2024-03-12,503.3,Recommended,78
578080,2023-03-17,2409.4,Recommended,0
578080,2019-12-06,5679.6,Not Recommended,111
578080,2019-07-24,824.1,Not Recommended,417
578080,2018-11-14,1052.9,Recommended,347
578080,2022-09-17,97.9,Recommended,95
578080,2018-01-25,2329.9,Not Recommended,78
578080,2024-10-10,1124.3,Not Recommended,62
578080,2018-06-21,844.1,Not Recommended,168
578080,2017-03-28,145.4,Recommended,392
578080,2018-12-07,209.0,Not Recommended,487
578080,2022-02-24,17.0,Recommended,324
578080,2018-06-16,85.6,Not Recommended,246
578080,2017-10-27,1023.3,Not Recommended,1020
578080,2024-07-05,2498.0,Not Recommended,94
578080,2017-08-08,174.6,Not Recommended,28
578080,2020-04-17,998.0,Not Recommended,78
578080,2018-03-09,1851.9,Recommended,113
578080,2024-11-01,1060.5,Recommended,46
578080,2017-03-25,203.9,Recommended,76
578080,2017-12-21,1234.7,Not Recommended,2121
578080,2022-04-28,196.9,Not Recommended,272
578080,2018-04-12,12.4,Not Recommended,286
578080,2023-11-14,57.1,Recommended,73
578080,2018-04-13,533.0,Not Recommended,821
578080,2018-08-17,1338.8,Not Recommended,420
578080,2017-09-30,43.3,Not Recommended,100
578080,2023-03-16,477.4,Recommended,413
578080,2018-12-19,394.7,Not Recommended,434
578080,2019-02-18,1845.4,Recommended,115
578080,2024-10-08,430.9,Not Recommended,66
578080,2022-03-30,1141.0,Not Recommended,83
578080,2017-09-29,41.9,Not Recommended,1835
578080,2023-06-27,2929.2,Not Recommended,41
578080,2020-03-23,161.4,Not Recommended,351
578080,2023-12-28,6.1,Recommended,179
578080,2017-04-16,314.4,Recommended,169
578080,2022-09-29,972.6,Not Recommended,55
578080,2019-09-20,1177.6,Recommended,164
578080,2020-12-02,4231.6,Not Recommended,181
578080,2020-07-22,262.5,Not Recommended,137
578080,2018-01-07,321.4,Not Recommended,97
578080,2022-12-21,242.4,Not Recommended,74
578080,2017-11-23,173.2,Recommended,1494
578080,2024-01-19,1254.0,Not Recommended,69
578080,2022-01-30,72.8,Recommended,253
578080,2023-10-17,5235.4,Recommended,125
578080,2018-03-27,95.1,Not Recommended,144
578080,2017-09-21,160.5,Not Recommended,2013
578080,2020-12-26,1281.4,Recommended,42
578080,2018-02-14,1764.2,Not Recommended,186
578080,2018-01-30,448.1,Not Recommended,67
578080,2022-02-02,0.5,Recommended,194
578080,2024-09-15,1437.4,Not Recommended,39
578080,2017-09-28,224.2,Not Recommended,5058
578080,2017-11-25,663.3,Not Recommended,2388
578080,2024-03-08,0.3,Recommended,427
578080,2019-08-26,269.4,Not Recommended,151
578080,2017-11-23,265.1,Recommended,160
